交差点番号,管理者名,交差点名,地先名,緯度,経度,路線名
6543440069,オホーツク総合振興局 網走建設管理部,,置戸町字置戸,43.680025406 ,143.600061393 ,"[{'RosenName': '一般都道府県道 北海道986号線 置戸−訓子府−北見線', 'KitenNodeNo': '6543440020', 'SyutenNodeNo': '6543450060'}, {'RosenName': '市町村道 置戸町97106号線 複線（2） ９７１０６号複線２', 'KitenNodeNo': '', 'SyutenNodeNo': '6543440023'}]"
6543440073,オホーツク総合振興局 網走建設管理部,中里２,置戸町字中里,43.670629590 ,143.567731619 ,"[{'RosenName': '市町村道 置戸町97104号線 複線（2） ９７１０４号複線７', 'KitenNodeNo': '6543340011', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道211号線 春日置戸線', 'KitenNodeNo': '6543340012', 'SyutenNodeNo': '6543440014'}]"
6543440082,オホーツク総合振興局 網走建設管理部,,北見市留辺蘂町松山２７,43.732919871 ,143.505766484 ,"[{'RosenName': '一般都道府県道 北海道97101号線 ９７１０１号', 'KitenNodeNo': '', 'SyutenNodeNo': '6543540080'}]"
6543450018,オホーツク総合振興局 網走建設管理部,,置戸町字境野,43.710194211 ,143.647084292 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543450105', 'SyutenNodeNo': '6543440025'}, {'RosenName': '市町村道 置戸町97107号線 複線（8） ９７１０７号複線８', 'KitenNodeNo': '6543450103', 'SyutenNodeNo': ''}]"
6543450021,オホーツク総合振興局 網走建設管理部,,置戸町字雄勝,43.745202718 ,143.654547963 ,"[{'RosenName': '一般都道府県道 北海道261号線 置戸福野北見線', 'KitenNodeNo': '6543450013', 'SyutenNodeNo': '6543450052'}, {'RosenName': '市町村道 置戸町12号線 雄勝訓子府線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543550016'}]"
6543450052,オホーツク総合振興局 網走建設管理部,,訓子府町字高園,43.749150740 ,143.731069912 ,"[{'RosenName': '一般都道府県道 北海道261号線 置戸福野北見線', 'KitenNodeNo': '6543450021', 'SyutenNodeNo': ''}, {'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543550020', 'SyutenNodeNo': '6543450054'}, {'RosenName': '市町村道 訓子府町97101号線 複線（47） ９７１０１号複線４７', 'KitenNodeNo': '', 'SyutenNodeNo': '6543450079'}]"
6543450054,オホーツク総合振興局 網走建設管理部,,訓子府町大町,43.729244912 ,143.733604336 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543450052', 'SyutenNodeNo': '6543450057'}, {'RosenName': '市町村道 訓子府町97101号線 複線（31） ９７１０１号複線３１', 'KitenNodeNo': '6543450169', 'SyutenNodeNo': ''}, {'RosenName': '市町村道 訓子府町97101号線 複線（33） ９７１０１号複線３３', 'KitenNodeNo': '', 'SyutenNodeNo': '6543450222'}]"
6543450057,オホーツク総合振興局 網走建設管理部,,訓子府町字訓子府,43.726874376 ,143.733854470 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543450054', 'SyutenNodeNo': '6543450060'}, {'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543450069', 'SyutenNodeNo': '6543450217'}]"
6543450069,オホーツク総合振興局 網走建設管理部,,訓子府町字訓子府,43.727107836 ,143.738316550 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543450082', 'SyutenNodeNo': '6543450057'}]"
6543450071,オホーツク総合振興局 網走建設管理部,,訓子府町末広町９１番地１,43.719433779 ,143.738633697 ,"[{'RosenName': '一般都道府県道 北海道986号線 置戸−訓子府−北見線', 'KitenNodeNo': '6543450060', 'SyutenNodeNo': '6543460006'}, {'RosenName': '市町村道 訓子府町70号線 末広緑丘線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543460029'}]"
6543450082,オホーツク総合振興局 網走建設管理部,,訓子府町元町,43.727287092 ,143.741491250 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543460068', 'SyutenNodeNo': '6543450069'}, {'RosenName': '市町村道 訓子府町97101号線 複線（50） ９７１０１号複線５０', 'KitenNodeNo': '', 'SyutenNodeNo': '6543450081'}]"
6543450105,オホーツク総合振興局 網走建設管理部,,置戸町字境野,43.716481522 ,143.663599042 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543450217', 'SyutenNodeNo': '6543450018'}, {'RosenName': '市町村道 置戸町97112号線 複線（2） ９７１１２号複線２', 'KitenNodeNo': '6543450104', 'SyutenNodeNo': ''}]"
6543450121,オホーツク総合振興局 網走建設管理部,豊坂,訓子府町豊坂,43.704864078 ,143.720377987 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543450123', 'SyutenNodeNo': '6543450137'}]"
6543450122,オホーツク総合振興局 網走建設管理部,開盛,訓子府町開盛,43.685212303 ,143.720566770 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543450137', 'SyutenNodeNo': '6543350011'}]"
6543450123,オホーツク総合振興局 網走建設管理部,清住,訓子府町清住,43.709180401 ,143.725556397 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543450144', 'SyutenNodeNo': '6543450121'}]"
6543450137,オホーツク総合振興局 網走建設管理部,常盤,訓子府町常盤,43.700048027 ,143.721265725 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543450121', 'SyutenNodeNo': '6543450122'}]"
6543450144,オホーツク総合振興局 網走建設管理部,末広町,訓子府町末広町,43.712517736 ,143.732443051 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543450195', 'SyutenNodeNo': '6543450123'}]"
6543450195,オホーツク総合振興局 網走建設管理部,実郷,訓子府町実郷,43.718079649 ,143.734979952 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543450060', 'SyutenNodeNo': '6543450144'}, {'RosenName': '国道52号線 複線（3） 北海道横断自動車道黒松内北見線', 'KitenNodeNo': '6543450206', 'SyutenNodeNo': ''}]"
6543460006,オホーツク総合振興局 網走建設管理部,,訓子府町字実郷,43.721101074 ,143.762448091 ,"[{'RosenName': '一般都道府県道 北海道986号線 置戸−訓子府−北見線', 'KitenNodeNo': '6543450071', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道97140号線 複線（31） ９７１４０号', 'KitenNodeNo': '', 'SyutenNodeNo': '6543460034'}]"
6543460012,オホーツク総合振興局 網走建設管理部,,訓子府町字日出,43.735846020 ,143.788290599 ,"[{'RosenName': '一般都道府県道 北海道494号線 訓子府津別線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543460013'}, {'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543460120', 'SyutenNodeNo': '6543460059'}, {'RosenName': '市町村道 訓子府町97101号線 複線（100） ９７１０１号複線１００', 'KitenNodeNo': '', 'SyutenNodeNo': '6543460063'}]"
6543460013,オホーツク総合振興局 網走建設管理部,,訓子府町常川８８９,43.728851122 ,143.790740842 ,"[{'RosenName': '一般都道府県道 北海道494号線 訓子府津別線', 'KitenNodeNo': '6543460012', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道97141号線 複線（2） ９７１４０号複線２', 'KitenNodeNo': '6543460014', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道986号線 複線（1） ９８６号線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543460078'}]"
6543460059,オホーツク総合振興局 網走建設管理部,,訓子府町字穂波,43.733591895 ,143.781645519 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543460012', 'SyutenNodeNo': '6543460009'}, {'RosenName': '市町村道 訓子府町97101号線 複線（101） ９７１０１号複線１０１', 'KitenNodeNo': '', 'SyutenNodeNo': '6543460058'}, {'RosenName': '市町村道 訓子府町97101号線 複線（116） ９７１０１号複線１１６', 'KitenNodeNo': '6543460060', 'SyutenNodeNo': ''}]"
6543460064,オホーツク総合振興局 網走建設管理部,,訓子府町字穂波,43.731537504 ,143.768071887 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543460009', 'SyutenNodeNo': '6543460005'}, {'RosenName': '市町村道 訓子府町97105号線 ９７１０５号', 'KitenNodeNo': '6543460065', 'SyutenNodeNo': ''}]"
6543460068,オホーツク総合振興局 網走建設管理部,,訓子府町東町,43.727783081 ,143.747673989 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543460005', 'SyutenNodeNo': '6543450082'}, {'RosenName': '市町村道 訓子府町97101号線 複線（104） ９７１０１号複線１０４', 'KitenNodeNo': '6543460069', 'SyutenNodeNo': ''}]"
6543460078,オホーツク総合振興局 網走建設管理部,,北見市常川７４９,43.747775380 ,143.835223047 ,"[{'RosenName': '一般都道府県道 北海道986号線 複線（1） ９８６号線', 'KitenNodeNo': '6543460013', 'SyutenNodeNo': '6543560030'}, {'RosenName': '市町村道 北見市97104号線 複線（2） 別着ノ沢道路\u3000路線番号１４７', 'KitenNodeNo': '6543460024', 'SyutenNodeNo': ''}]"
6543540047,オホーツク総合振興局 網走建設管理部,,北見市留辺蘂町仲町８７,43.787592112 ,143.617573516 ,"[{'RosenName': '一般都道府県道 北海道97102号線 複線（12） ９７１０２号複線１２', 'KitenNodeNo': '', 'SyutenNodeNo': '6543540052'}, {'RosenName': '一般都道府県道 北海道97102号線 複線（11） ９７１０２号複線１１', 'KitenNodeNo': '6543540203', 'SyutenNodeNo': ''}]"
6543540052,オホーツク総合振興局 網走建設管理部,,北見市留辺蘂町仲町１７,43.787421383 ,143.619956644 ,"[{'RosenName': '一般都道府県道 北海道97102号線 複線（12） ９７１０２号複線１２', 'KitenNodeNo': '6543540047', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道97102号線 複線（13） ９７１０２号複線１３', 'KitenNodeNo': '', 'SyutenNodeNo': '6543550036'}]"
6543540075,オホーツク総合振興局 網走建設管理部,,北見市留辺蘂町温根湯温泉二区６３,43.754013272 ,143.509581410 ,"[{'RosenName': '一般都道府県道 北海道97101号線 複線（1） ９７１０１号複線１', 'KitenNodeNo': '6543540080', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道97101号線 複線（2） ９７１０１号複線２', 'KitenNodeNo': '', 'SyutenNodeNo': '6543540152'}]"
6543540080,オホーツク総合振興局 網走建設管理部,,北見市留辺蘂町温根湯温泉７５,43.752713453 ,143.510231437 ,"[{'RosenName': '一般都道府県道 北海道97101号線 ９７１０１号', 'KitenNodeNo': '6543440082', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道97101号線 複線（1） ９７１０１号複線１', 'KitenNodeNo': '', 'SyutenNodeNo': '6543540075'}]"
6543540203,オホーツク総合振興局 網走建設管理部,,北見市留辺蘂町上町４８,43.787558702 ,143.615240397 ,"[{'RosenName': '一般都道府県道 北海道97102号線 複線（11） ９７１０２号複線１１', 'KitenNodeNo': '', 'SyutenNodeNo': '6543540047'}]"
6543550006,オホーツク総合振興局 網走建設管理部,,北見市留辺蘂町東町２１,43.787225674 ,143.622848060 ,"[{'RosenName': '市町村道 北見市97106号線 複線（103） ９７１０６号複線１０３', 'KitenNodeNo': '', 'SyutenNodeNo': '6543550009'}, {'RosenName': '一般都道府県道 北海道97102号線 複線（14） ９７１０２号複線１４', 'KitenNodeNo': '6543550036', 'SyutenNodeNo': ''}]"
6543550009,オホーツク総合振興局 網走建設管理部,,北見市留辺蘂町元町４,43.787050781 ,143.625310347 ,"[{'RosenName': '市町村道 北見市97106号線 複線（103） ９７１０６号複線１０３', 'KitenNodeNo': '6543550006', 'SyutenNodeNo': ''}, {'RosenName': '主要地方道 北海道103号線 留辺蘂浜佐呂間線', 'KitenNodeNo': '6543550007', 'SyutenNodeNo': '6543750004'}]"
6543550020,オホーツク総合振興局 網走建設管理部,,訓子府町字弥生,43.771231373 ,143.730543492 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543550025', 'SyutenNodeNo': '6543450052'}, {'RosenName': '市町村道 訓子府町177号線 駒里弥生線', 'KitenNodeNo': '6543550016', 'SyutenNodeNo': ''}, {'RosenName': '市町村道 訓子府町97113号線 ９７１１３号本線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543550067'}]"
6543550025,オホーツク総合振興局 網走建設管理部,,訓子府町字弥生,43.772619104 ,143.741975694 ,"[{'RosenName': '主要地方道 北海道143号線 北見白糠線', 'KitenNodeNo': '6543550065', 'SyutenNodeNo': '6543550020'}, {'RosenName': '一般都道府県道 北海道261号線 置戸福野北見線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543560012'}]"
6543550036,オホーツク総合振興局 網走建設管理部,,北見市留辺蘂町仲町２８,43.787304791 ,143.621693993 ,"[{'RosenName': '一般都道府県道 北海道97102号線 複線（13） ９７１０２号複線１３', 'KitenNodeNo': '6543540052', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道97102号線 複線（14） ９７１０２号複線１４', 'KitenNodeNo': '', 'SyutenNodeNo': '6543550006'}]"
6543560012,オホーツク総合振興局 網走建設管理部,,訓子府町字福野,43.777302816 ,143.769106251 ,"[{'RosenName': '一般都道府県道 北海道261号線 置戸福野北見線', 'KitenNodeNo': '6543550025', 'SyutenNodeNo': '6543560671'}, {'RosenName': '市町村道 訓子府町97114号線 ９７１１４号本線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543560011'}, {'RosenName': '市町村道 訓子府町97101号線 複線（106） ９７１０１号複線１０６', 'KitenNodeNo': '6543560665', 'SyutenNodeNo': ''}]"
6543560023,オホーツク総合振興局 網走建設管理部,,北見市東相内町１０２４,43.805005056 ,143.810217337 ,"[{'RosenName': '市町村道 北見市97103号線 複線（56） 東相内町北２線道路\u3000路線番号１６９', 'KitenNodeNo': '6543560682', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道555号線 東相内停車場線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543561143'}]"
6543560030,オホーツク総合振興局 網走建設管理部,,北見市上ところ,43.756516091 ,143.838234692 ,"[{'RosenName': '一般都道府県道 北海道986号線 複線（1） ９８６号線', 'KitenNodeNo': '6543460078', 'SyutenNodeNo': ''}, {'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543560800', 'SyutenNodeNo': '6543460120'}]"
6543560034,オホーツク総合振興局 網走建設管理部,,北見市豊地６９−６,43.787012604 ,143.844394600 ,"[{'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543561012', 'SyutenNodeNo': '6543560036'}, {'RosenName': '一般都道府県道 北海道261号線 置戸福野北見線', 'KitenNodeNo': '6543561221', 'SyutenNodeNo': '6543561334'}]"
6543560036,オホーツク総合振興局 網走建設管理部,,北見市豊地１００,43.787162667 ,143.846723545 ,"[{'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543560034', 'SyutenNodeNo': '6543560039'}, {'RosenName': '市町村道 北見市97114号線 工業団地１号道路\u3000路線番号１５０８', 'KitenNodeNo': '', 'SyutenNodeNo': '6543560038'}]"
6543560039,オホーツク総合振興局 網走建設管理部,,北見市豊地,43.787458625 ,143.851306443 ,"[{'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543560036', 'SyutenNodeNo': '6543560045'}, {'RosenName': '市町村道 北見市1503号線 豊地西７号道路', 'KitenNodeNo': '', 'SyutenNodeNo': '6543560241'}]"
6543560045,オホーツク総合振興局 網走建設管理部,豊地,北見市豊地１８番４,43.787754579 ,143.855781017 ,"[{'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543560039', 'SyutenNodeNo': '6543560851'}, {'RosenName': '市町村道 北見市36号線 昭和通道路線', 'KitenNodeNo': '6543560299', 'SyutenNodeNo': ''}, {'RosenName': '市町村道 北見市2846号線 北光通', 'KitenNodeNo': '', 'SyutenNodeNo': '6543561222'}]"
6543560068,オホーツク総合振興局 網走建設管理部,,北見市北上,43.770773712 ,143.867322769 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543561207'}, {'RosenName': '主要地方道 北海道27号線 北見津別線', 'KitenNodeNo': '6543561337', 'SyutenNodeNo': '6544400085'}]"
6543560177,オホーツク総合振興局 網走建設管理部,,北見市中央三輪三丁目５３０,43.802102372 ,143.842497932 ,"[{'RosenName': '市町村道 北見市97116号線 複線（148） 三輪通道路\u3000路線番号１６', 'KitenNodeNo': '', 'SyutenNodeNo': '6543560191'}, {'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543561245', 'SyutenNodeNo': '6543561156'}, {'RosenName': '市町村道 北見市97116号線 複線（170） ９７１１６号複線１７０', 'KitenNodeNo': '6543561457', 'SyutenNodeNo': ''}]"
6543560671,オホーツク総合振興局 網走建設管理部,,北見市豊地８０３,43.780648963 ,143.789691658 ,"[{'RosenName': '一般都道府県道 北海道261号線 置戸福野北見線', 'KitenNodeNo': '6543560012', 'SyutenNodeNo': '6543561221'}, {'RosenName': '市町村道 訓子府町97101号線 複線（118） ９７１０１号複線１１８', 'KitenNodeNo': '6543560668', 'SyutenNodeNo': ''}]"
6543560800,オホーツク総合振興局 網走建設管理部,,北見市北上,43.760870059 ,143.847683544 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543561219', 'SyutenNodeNo': '6543560030'}]"
6543560851,オホーツク総合振興局 網走建設管理部,,北見市無加川町６３３,43.788083884 ,143.860859701 ,"[{'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543560045', 'SyutenNodeNo': '6543571525'}, {'RosenName': '市町村道 北見市97133号線 複線（33） 無加川町９号道路\u3000路線番号１４９７', 'KitenNodeNo': '', 'SyutenNodeNo': '6543560850'}]"
6543561012,オホーツク総合振興局 網走建設管理部,南大通,北見市三輪６７８−６,43.792574404 ,143.843702625 ,"[{'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543561156', 'SyutenNodeNo': '6543560034'}, {'RosenName': '市町村道 北見市2号線 南大通道路', 'KitenNodeNo': '', 'SyutenNodeNo': '6543560088'}]"
6543561190,オホーツク総合振興局 網走建設管理部,双葉町１丁目,北見市高栄西町１０丁目,43.808139601 ,143.855692164 ,"[{'RosenName': '市町村道 北見市36号線 昭和通道路線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543560089'}, {'RosenName': '市町村道 北見市25号線 夕陽ケ丘通道路線', 'KitenNodeNo': '6543561175', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543570259', 'SyutenNodeNo': '6543561200'}]"
6543561207,オホーツク総合振興局 網走建設管理部,北上西６号,北見市北上１０１−１,43.767440557 ,143.860861078 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543560068', 'SyutenNodeNo': '6543561219'}, {'RosenName': '市町村道 北見市37号線 北上西６号道路線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543561205'}]"
6543561219,オホーツク総合振興局 網走建設管理部,,北見市北上,43.764019907 ,143.854236907 ,"[{'RosenName': '主要地方道 北海道50号線 北見置戸線', 'KitenNodeNo': '6543561207', 'SyutenNodeNo': '6543560800'}, {'RosenName': '一般都道府県道 北海道261号線 置戸福野北見線', 'KitenNodeNo': '6543561334', 'SyutenNodeNo': ''}]"
6543561221,オホーツク総合振興局 網走建設管理部,,北見市豊地４３０,43.786332793 ,143.823617365 ,"[{'RosenName': '一般都道府県道 北海道261号線 置戸福野北見線', 'KitenNodeNo': '6543560671', 'SyutenNodeNo': '6543560034'}, {'RosenName': '市町村道 北見市97103号線 複線（16） ９７１０３号複線１６', 'KitenNodeNo': '6543560694', 'SyutenNodeNo': ''}, {'RosenName': '市町村道 北見市97103号線 複線（29） 西１１号道路\u3000路線番号２３７９', 'KitenNodeNo': '', 'SyutenNodeNo': '6543561228'}]"
6543561233,オホーツク総合振興局 網走建設管理部,,北見市美園７０６,43.802374415 ,143.758918007 ,"[{'RosenName': '一般都道府県道 北海道245号線 下仁頃相内停車場線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543561136'}, {'RosenName': '市町村道 北見市97136号線 複線（5） 鉄北道路\u3000路線番号３５', 'KitenNodeNo': '', 'SyutenNodeNo': '6543561234'}]"
6543561245,オホーツク総合振興局 網走建設管理部,緑町５丁目,北見市緑町５丁目,43.807185066 ,143.841876816 ,"[{'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543561200', 'SyutenNodeNo': '6543560177'}, {'RosenName': '市町村道 北見市52号線 平成新道線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543561130'}, {'RosenName': '市町村道 北見市25号線 夕陽ケ丘通道路線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543561241'}]"
6543570016,オホーツク総合振興局 網走建設管理部,,北見市緑ケ丘,43.831462465 ,143.875563801 ,"[{'RosenName': '市町村道 北見市16号線 仁頃連絡線', 'KitenNodeNo': '', 'SyutenNodeNo': '6543570063'}, {'RosenName': '主要地方道 北海道7号線 北見常呂線', 'KitenNodeNo': '6543571797', 'SyutenNodeNo': '6543670222'}]"
6543570063,オホーツク総合振興局 網走建設管理部,美山町１９,北見市美山町１８番地,43.825001091 ,143.885288350 ,"[{'RosenName': '市町村道 北見市16号線 仁頃連絡線', 'KitenNodeNo': '6543570016', 'SyutenNodeNo': ''}, {'RosenName': '市町村道 北見市3号線 青葉通線', 'KitenNodeNo': '6543570082', 'SyutenNodeNo': ''}, {'RosenName': '一般都道府県道 北海道943号線 北見環状線', 'KitenNodeNo': '6543570689', 'SyutenNodeNo': '6543571797'}]"
6543570109,オホーツク総合振興局 網走建設管理部,南仲町２丁目,北見市南仲町一丁目５,43.800516940 ,143.896018180 ,"[{'RosenName': '主要地方道 北海道122号線 北見端野美幌線', 'KitenNodeNo': '6543571947', 'SyutenNodeNo': '6543570116'}, {'RosenName': '市町村道 北見市97117号線 複線（742） 小町泉通道路\u3000路線番号１３', 'KitenNodeNo': '6543571434', 'SyutenNodeNo': ''}]"
6543570116,オホーツク総合振興局 網走建設管理部,泉町１丁目,北見市泉町一丁目１,43.802904232 ,143.898346976 ,"[{'RosenName': '主要地方道 北海道122号線 北見端野美幌線', 'KitenNodeNo': '6543570109', 'SyutenNodeNo': '6543571854'}, {'RosenName': '市町村道 北見市97117号線 複線（603） ９７１１７号複線６０３', 'KitenNodeNo': '', 'SyutenNodeNo': '6543571453'}]"
